Tabby,Anton,Sarah,text
0,0,1,"RT @ladygaga: Singing our National Anthem for the  American People is my honor.  I will sing during a ceremony, a transition, a moment of c…"
0,0,0,"RT @William_I_Brown: FREE National Museum of African American History &amp; Culture - Livestream Tour: 
Date And Time
Sun, March 7, 2021
12:00…"
0,0,0,"RT @donmoyn: Russian National Mariia Butina arrested by DoJ for ""infiltrating organizations having influence in American politics, for the…"
1,0,0,"National Park Service releases study of sites &amp; events associated w/ American LGBTQ history. My weekend reading!
https://t.co/vwUIpTQWLS"
0,0,0,At the National Museum of African American History &amp; Culture <U+23F0>
0,0,0,"Likewise the attempts to make this a ‘Ha!! Crass Americans’ thing. Firstly, because nationalism is the refuge of the lazy and secondly because it’s never, ever just been an American thing."
0,0,0,RT @sinhassp: @Swamy39 Right on the dot Dr Swamy. The moron just wanted to substantiate his claim of 2005 at American embassy at the cost o…
0,0,0,"RT @jaketapper: Ash Carter: “In my almost 4 decades with national defense starting in the Pentagon under..Reagan, I never saw or imagined s…"
0,0,0,Opioids and anti-anxiety medication are killing white American women https://t.co/BPbcqyxng0
0,0,0,RT @tedlieu: Dear @realDonaldTrump: Remember when you went on national TV with Lester Holt &amp; told the American people you fired James Comey…
-1,0,0,RT @WhitfordBradley: Trump's response to the death of an American citizen at the hands of a terrorist?  I'm the victim. https://t.co/WOA4db…
1,0,0,CONald Trump - your white supremacist supporters Murdered a woman yesterday.  An American citizen is dead. You own that.  It's on you. Sad!
0,0,0,"RT @ABCPolitics: UPDATE: Trump no longer to visit National African American Museum on MLK Day due to scheduling issues, transition official…"
0,0,0,RT @trcfwtt: The msm can't take an American citizen &amp; child rape victim at her word but are ok w/repeating Russian propaganda via Wikileaks…
0,0,0,"RT @FloGymnastics: World silver-medalist Jade Carey headlines the roster along with national team members Audrey Davis, Kayla DiCello, Kara…"
0,-1,-1,@AshaRangappa_ American education is indoctrination into White Nationalism/Christianity.
0,-1,-1,"RT @washingtonpost: Japanese American internment is ""precedent"" for national Muslim registry, prominent Trump backer says https://t.co/PJyi…"
0,1,0,"RT @PaulieD55: I hate the American people, the border wall, capitalism, pro lifers, reduced regulation, sovereignty, nationalism.
But most…"
0,0,0,RT @realBigBalls: Politicians are so stupid. If you took that 1.5 trillion dollar @gop billionaire tax giveaway. &amp; just gave it to us. That…
0,0,0,Zoë Cohen Installs for #RevolutionaryArt at the National Museum of American Jewish History https://t.co/6pVMM9G7IB via @StreetsDept
1,1,1,"RT @RealJamesWoods: Welcome, fellow American.  https://t.co/myJlnRbSXL"
0,0,0,"RT @jonfavs: This is what our government did to an 18-year-old American citizen. 

It should be an enormous scandal right now. 

Customs an…"
0,0,0,RT @howardeskin: How many agree with me that Cheese Whiz is a joke. Don't get wit on National Cheesesteak Day. Provolone or American. Chees…
1,-1,1,"RT @SassyG8tor: A 13 year old American Citizen is being held in an American concentration camp because her mother is undocumented. 

FYI: I…"
0,0,0,"RT @triviapotus: #OTD 1959, VP Nixon &amp; Soviet Premier Khrushchev had a “kitchen debate” at American National Exhibition in Moscow.
https://…"
-1,-1,-1,"@k_rad @OlliKingVEVO @TeenVogue Do you not think it is against the law to sneak across the border illegally?
Even if you’re an American citizen, think it is legal to do so?"
0,0,0,RT @RealJamesWoods: Congress should enjoy no exemptions in any area differing from an American citizen. https://t.co/bvFQG9E3uf
1,1,1,#cnn: The day I became an American citizen https://t.co/AAdqlLR62s #news
-1,-1,-1,RT @RealBlue75: #EdwardSnowden just applied for Russian citizenship. Now tell me how much of an American Patriot he was. Keep it short.
0,0,0,RT @LarryOConnor: Steele peddled the Russian dossier to several media outlets and most wouldn't run with it because the info was so sketchy…
0,0,0,"10 Movies To Watch On Netflix For The Fourth Of July 2015: ‘National Treasure,’ ‘Rocky,’ ‘Wet Hot American Sum... http://t.co/z6qOP2XkWw"
1,1,1,RT @mcuban: I'm an American citizen First. Last.  Always.
0,1,1,RT @digiphile: It’s been a bad week for American democracy in a year where our sense of natural unity &amp; nationhood has become bitterly frac…
-1,-1,-1,"Trump To Sign Buy American, Hire American Executive Order https://t.co/lQFtmmd9hD"
1,1,1,"RT @AJCGlobal: <U+0001F6A8> A must-read from @AJC_Asia's Shira Loewenberg and @DylanAdelman:

Violence against Asian Americans is a national crisis.…"
1,1,1,RT @MuslimYouthUSA: American Muslims. #AMYAonTheHill @ National Mall and Memorial Parks https://t.co/BoxGdDcui6
0,0,0,Another American charged in bid to aid ISIS http://t.co/dxC088p3I9 #politics
0,1,0,RT @tariqnasheed: Today we remember #PhilandoCastile . An innocent American citizen who was allowed to be legally lynched because of his ra…
1,1,1,"“American leadership in the 21st century...means seeing foreign assistance as part of our national security, not charity"" Pres. Obama #sotu"
1,1,1,"Burning an American flag:

Jail, loss of citizenship

Flying a treasonous Confederate flag:

.......

@RIFuture 
@realDonaldTrump"
0,0,0,"RT @anwnation: After you learn about the new obstacles, VOTE on which one @ImAlexWeber has to try! https://t.co/BFsJ6vfjNe https://t.co/n2n…"
1,1,1,"Obama national security strategy stresses alliances, American values http://t.co/Q92GwtQVo6"
1,1,1,"RT @RepRubenGallego: Today is a National Day of Action and Healing. The Asian American community has been terrorized by more than 3,800 ant…"
0,0,0,WFA All American Game Atlanta Phoenix Football 2018 WFA National Championship
0,0,0,RT @blenheimeq: The 2015 #VegasNational is Proud to be a Part of the Longines FEI World Cup Jumping North American League... http://t.co/4b…
0,0,0,RT @CNN: The Smithsonian's National Museum of American History has received the vial from the first authorized Covid-19 vaccine dose admini…
1,1,1,RT @USMC_DD: Obama Speaking in Germany Today. Not one American worried if he would say something to hurt our International Relations or Nat…
0,0,0,RT @WordswithSteph: Shepard Smith is wide awake at Fox News. Woke &amp; reporting the absolute truth to the American people &amp; the world. As Tru…
1,1,1,"@realDonaldTrump Trump blames again. If you hadn’t had several surrogates with ties to Russia, and if you hadn’t withheld funding for a foreign power in order to investigate an American citizen then you wouldn’t have had those problems. You once again take no responsibility. #AmericaOrTrump https://t.co/4dGGMfQigY"
0,0,0,"RT @RepJeffries: Trump withheld $391 million in security aid for no legitimate reason.

He pressured the Ukrainian President to target an A…"
1,1,1,"RT @ddale8: Trudeau says the tariffs on national security grounds are ""an affront"" to Canadian soldiers who have died fighting with America…"
0,0,0,"RT @ncaawbb: Dawn Staley will be able to fulfill a promise to Carolyn Peck, the only other African-American woman to coach a national champ…"
